"contactor","contactee","contact.rate"
"1","1",120.372340425532
"2","1",33.4583333333333
"3","1",23.1338028169014
"4","1",24.3333333333333
"5","1",29.0066225165563
"6","1",14.5033112582781
"7","1",10.5797101449275
"8","1",13.5185185185185
"9","1",5.25179856115108
"10","1",7.60416666666667
"11","1",5.57251908396947
"12","1",11.40625
"13","1",13.1294964028777
"14","1",5.32846715328467
"15","1",5
"16","1",14.4078947368421
"17","1",0
"18","1",0
"19","1",2.82945736434109
"20","1",3.17391304347826
"25","1",3.98471615720524
"30","1",19.4902912621359
"35","1",25.5974025974026
"40","1",9.35897435897436
"45","1",3.31065759637188
"50","1",3.95021645021645
"55","1",11.2061403508772
"60","1",6.57657657657658
"65","1",5.8466819221968
"65+","1",1.34935304990758
"1","2",69.8936170212766
"2","2",185.541666666667
"3","2",102.816901408451
"4","2",121.666666666667
"5","2",31.4238410596026
"6","2",70.0993377483444
"7","2",42.3188405797101
"8","2",18.9259259259259
"9","2",26.2589928057554
"10","2",15.2083333333333
"11","2",39.0076335877863
"12","2",6.84375
"13","2",28.8848920863309
"14","2",18.6496350364963
"15","2",15
"16","2",26.4144736842105
"17","2",9.06832298136646
"18","2",17.3809523809524
"19","2",16.9767441860465
"20","2",19.0434782608696
"25","2",35.8624454148472
"30","2",41.6383495145631
"35","2",77.7402597402597
"40","2",36.5850815850816
"45","2",21.5192743764172
"50","2",15.0108225108225
"55","2",14.4078947368421
"60","2",16.4414414414414
"65","2",18.3752860411899
"65+","2",13.4935304990758
"1","3",89.3085106382979
"2","3",97.3333333333333
"3","3",231.338028169014
"4","3",245.766666666667
"5","3",72.5165562913907
"6","3",70.0993377483444
"7","3",66.1231884057971
"8","3",35.1481481481481
"9","3",13.1294964028777
"10","3",19.0104166666667
"11","3",41.793893129771
"12","3",22.8125
"13","3",2.62589928057554
"14","3",7.99270072992701
"15","3",12.5
"16","3",21.6118421052632
"17","3",6.80124223602485
"18","3",5.79365079365079
"19","3",14.1472868217054
"20","3",12.695652173913
"25","3",19.9235807860262
"30","3",37.2087378640777
"35","3",66.3636363636364
"40","3",49.3473193473193
"45","3",17.3809523809524
"50","3",17.3809523809524
"55","3",19.2105263157895
"60","3",18.9076576576577
"65","3",39.2562929061785
"65+","3",10.1201478743068
"1","4",81.5425531914894
"2","4",124.708333333333
"3","4",388.133802816901
"4","4",586.433333333333
"5","4",207.880794701987
"6","4",116.026490066225
"7","4",124.311594202899
"8","4",45.962962962963
"9","4",36.7625899280576
"10","4",22.8125
"11","4",30.6488549618321
"12","4",27.375
"13","4",15.7553956834532
"14","4",13.3211678832117
"15","4",30
